repository_name,date,views,unique_visitors/cloners
embedded-banking,2024-03-31,1,1
embedded-banking,2024-06-03,1,1
embedded-banking,2024-07-29,290,27
embedded-banking,2024-06-04,5,3
embedded-banking,2025-02-07,8,7
embedded-banking,2024-06-05,11,4
embedded-banking,2025-02-08,2,1
embedded-banking,2025-02-09,9,3
embedded-banking,2024-06-06,10,3
embedded-banking,2024-06-07,23,4
embedded-banking,2024-06-20,30,2
embedded-banking,2024-06-08,3,1
embedded-banking,2024-02-10,1,1
embedded-banking,2024-06-21,23,3
embedded-banking,2024-02-11,1,1
embedded-banking,2024-02-12,28,4
embedded-banking,2025-01-01,10,2
embedded-banking,2024-06-24,37,3
embedded-banking,2024-02-13,10,4
embedded-banking,2024-06-25,12,3
embedded-banking,2024-02-14,6,3
embedded-banking,2025-01-02,47,10
embedded-banking,2025-01-03,45,5
embedded-banking,2024-02-15,5,3
embedded-banking,2024-06-26,24,3
embedded-banking,2024-02-16,23,5
embedded-banking,2024-06-27,7,4
embedded-banking,2024-06-28,4,2
embedded-banking,2025-01-05,1,1
embedded-banking,2025-01-06,89,10
embedded-banking,2025-01-07,23,6
embedded-banking,2024-02-19,1,1
embedded-banking,2025-01-20,4,3
embedded-banking,2025-01-21,23,3
embedded-banking,2025-01-08,128,8
embedded-banking,2025-01-09,75,7
embedded-banking,2025-01-22,95,11
embedded-banking,2025-01-23,80,10
embedded-banking,2025-01-24,85,12
embedded-banking,2025-01-25,4,1
embedded-banking,2025-01-26,2,2
embedded-banking,2025-01-27,52,7
embedded-banking,2025-01-28,77,7
embedded-banking,2025-01-29,185,7
embedded-banking,2024-09-10,99,9
embedded-banking,2024-01-30,15,2
embedded-banking,2024-01-17,8,2
embedded-banking,2024-12-10,64,6
embedded-banking,2024-12-11,14,4
embedded-banking,2024-09-11,39,9
embedded-banking,2024-01-18,24,3
embedded-banking,2024-01-31,43,5
embedded-banking,2024-12-12,20,6
embedded-banking,2024-09-12,100,14
embedded-banking,2024-01-19,57,6
embedded-banking,2024-05-01,27,5
embedded-banking,2024-09-13,58,21
embedded-banking,2024-12-13,45,6
embedded-banking,2024-12-14,9,2
embedded-banking,2024-09-14,1,1
embedded-banking,2024-05-03,10,3
embedded-banking,2024-09-15,1,1
embedded-banking,2024-12-15,2,1
embedded-banking,2024-05-05,22,2
embedded-banking,2024-09-16,109,17
embedded-banking,2024-12-16,20,5
